left,right,matched_rows,agreement,kappa,weighted_kappa,rater,scheme,balanced_accuracy,mcc
human_label,doubao20pro,100,0.24,0.036022323693556624,-0.007777412641034154,,,,
,,100,,,,doubao20pro,merged_12,0.5230669265756984,0.06324076108762149
,,62,,,,doubao20pro,drop_2_keep_01,0.5434516523867808,0.12659511735237677
human_label,deepseekv32_api,100,0.26,0.04095386210471741,0.03423548461716408,,,,
,,100,,,,deepseekv32_api,merged_12,0.5662768031189084,0.14184408272449836
,,62,,,,deepseekv32_api,drop_2_keep_01,0.5667074663402693,0.17460484084016423
human_label,glm47,100,0.27,0.017364382824067714,0.006831983805667963,,,,
,,100,,,,glm47,merged_12,0.5490578297595842,0.08482609295116163
,,58,,,,glm47,drop_2_keep_01,0.5357624831309042,0.07666319383987331
human_label,kimik25,100,0.28,0.03948772678762014,0.016089108910891103,,,,
,,100,,,,kimik25,merged_12,0.5630279402209226,0.11274048172323972
,,59,,,,kimik25,drop_2_keep_01,0.5785907859078591,0.1746140623976073
human_label,majority4,100,0.24,0.011960478419136611,-0.0026815902996386587,,,,
,,100,,,,majority4,merged_12,0.507472384665367,0.015607919599413267
,,62,,,,majority4,drop_2_keep_01,0.5140758873929008,0.03397311561810515
